0.12   0  0  0
0.14   1.0010730204558177e-06 9.999502488160676e-07 1.999900497632115e-06
0.16   1.001107845632648e-06 1.0011078456326464e-06 3.0070722589148552e-06
0.18   0.0 0.0 6.99964971427288e-06
0.20   0.0 9.999499591818487e-07 6.018180566650928e-06
