0.12   0  0  0
0.14   4.3E-5  4.4E-5  7E-6
0.16   5.4E-5  5.4E-5  1E-6
0.18   7.7E-5  7.6E-5  2E-6
0.20   0.0002  0.0002  3.5E-5
